mounted, id, time
1000, 38, 287223
1000, 82, 6938
1000, 193, 6910
1000, 259, 7620
1000, 313, 7814
1000, 267, 288311
1000, 80, 8135
1000, 180, 8111
1000, 130, 8451
1000, 377, 288850
1000, 176, 8722
1000, 390, 8540
1000, 680, 288238
1000, 472, 8859
1000, 205, 9105
1000, 419, 9040
1000, 266, 9438
1000, 351, 9559
1000, 235, 10262
1000, 664, 10333
1000, 533, 10772
1000, 740, 10535
1000, 584, 12881
1000, 685, 292441
1000, 418, 13195
1000, 423, 13900
1000, 332, 295680
1000, 183, 15615
1000, 497, 15998
1000, 914, 14951
1000, 676, 16597
1000, 239, 298259
1000, 942, 296772
1000, 966, 15945
1000, 32, 18058
1000, 459, 17822
1000, 48, 18077
1000, 23, 18104
1000, 97, 19029
1000, 785, 298186
1000, 160, 299434
1000, 102, 299497
1000, 152, 19078
1000, 894, 298170
1000, 262, 299422
1000, 340, 299306
1000, 84, 299510
1000, 72, 301261
1000, 222, 301184
1000, 934, 299967
1000, 93, 301296
1000, 571, 20590
1000, 258, 20894
1000, 932, 299833
1000, 273, 301281
1000, 938, 18815
1000, 126, 301331
1000, 162, 20942
1000, 155, 20938
1000, 187, 20953
1000, 91, 20976
1000, 22, 20997
1000, 890, 19260
1000, 336, 20885
1000, 241, 301298
1000, 224, 20917
1000, 45, 21010
1000, 690, 299894
1000, 748, 20185
1000, 39, 21023
1000, 99, 20989
1000, 37, 21009
1000, 617, 300184
1000, 357, 301161
1000, 89, 301345
1000, 650, 300166
1000, 44, 21015
1000, 311, 20955
1000, 128, 20956
1000, 158, 20960
1000, 243, 301168
1000, 55, 21009
1000, 251, 20961
1000, 168, 20970
1000, 322, 301172
1000, 16, 21034
1000, 231, 20966
1000, 534, 20705
1000, 216, 301315
1000, 31, 21043
1000, 11, 301407
1000, 81, 21027
1000, 847, 19435
1000, 688, 299924
1000, 217, 20991
1000, 28, 21042
1000, 309, 20978
1000, 184, 20990
1000, 363, 20858
1000, 233, 20990
1000, 44, 301403
1000, 154, 20997
1000, 231, 301198
1000, 284, 20959
1000, 123, 21023
1000, 137, 301365
1000, 215, 20988
1000, 407, 301025
1000, 23, 301446
1000, 108, 21103
1000, 77, 21089
1000, 635, 20636
1000, 227, 21030
1000, 686, 300062
1000, 878, 19303
1000, 246, 21071
1000, 641, 300338
1000, 57, 301493
1000, 435, 300982
1000, 51, 21131
1000, 464, 20897
1000, 285, 21035
1000, 985, 300053
1000, 563, 300376
1000, 662, 300273
1000, 883, 300210
1000, 890, 300222
1000, 770, 300254
1000, 14, 301550
1000, 933, 300211
1000, 180, 301485
1000, 68, 301529
1000, 648, 300333
1000, 739, 300313
1000, 166, 21133
1000, 74, 301529
1000, 325, 21905
1000, 247, 21917
1000, 169, 21931
1000, 537, 21653
1000, 620, 21562
1000, 10, 21995
1000, 830, 19990
1000, 208, 302242
1000, 8, 22005
1000, 229, 21923
1000, 122, 21967
1000, 11, 22006
1000, 139, 21958
1000, 163, 21915
1000, 88, 21976
1000, 428, 21772
1000, 602, 21568
1000, 151, 21948
1000, 509, 21574
1000, 539, 21689
1000, 889, 20255
1000, 140, 21961
1000, 199, 21944
1000, 642, 21539
1000, 269, 21909
1000, 723, 21145
1000, 790, 20546
1000, 366, 21819
1000, 19, 22016
1000, 392, 21781
1000, 33, 22012
1000, 126, 21963
1000, 24, 302382
1000, 263, 21943
1000, 262, 21914
1000, 434, 21779
1000, 5, 22025
1000, 114, 302337
1000, 200, 21942
1000, 380, 21826
1000, 70, 22010
1000, 250, 21945
1000, 64, 22014
1000, 232, 21963
1000, 447, 21707
1000, 244, 21948
1000, 476, 21526
1000, 105, 22017
1000, 30, 22023
1000, 508, 21576
1000, 468, 21714
1000, 332, 21927
1000, 222, 21969
1000, 239, 21973
1000, 411, 21663
1000, 538, 21747
1000, 160, 21999
1000, 85, 22043
1000, 330, 21965
1000, 133, 22026
1000, 134, 22032
1000, 578, 21637
1000, 357, 21864
1000, 35, 22064
1000, 117, 22032
1000, 874, 301115
1000, 18, 22068
1000, 266, 302351
1000, 173, 22028
1000, 547, 21618
1000, 53, 302402
1000, 271, 302327
1000, 733, 21295
1000, 2, 22089
1000, 191, 21974
1000, 242, 22002
1000, 462, 21803
1000, 716, 21211
1000, 905, 20086
1000, 974, 19925
1000, 220, 21988
1000, 87, 22064
1000, 746, 21216
1000, 178, 22033
1000, 745, 21214
1000, 195, 22035
1000, 649, 21561
1000, 599, 21706
1000, 29, 22087
1000, 167, 22016
1000, 40, 22088
1000, 305, 21970
1000, 833, 19990
1000, 319, 21963
1000, 17, 22088
1000, 316, 21846
1000, 13, 302464
1000, 713, 21333
1000, 179, 22051
1000, 86, 22072
1000, 569, 21715
1000, 273, 22038
1000, 216, 22046
1000, 450, 21847
1000, 829, 301175
1000, 53, 22081
1000, 730, 21351
1000, 545, 21657
1000, 52, 22093
1000, 120, 22063
1000, 156, 22031
1000, 214, 22050
1000, 320, 22008
1000, 270, 22021
1000, 558, 21713
1000, 579, 21744
1000, 279, 21985
1000, 326, 22002
1000, 252, 22016
1000, 54, 22084
1000, 15, 22099
1000, 165, 22043
1000, 12, 22102
1000, 559, 21715
1000, 296, 22020
1000, 132, 22068
1000, 405, 21714
1000, 131, 22067
1000, 655, 21569
1000, 257, 22000
1000, 129, 22056
1000, 633, 21618
1000, 225, 22029
1000, 768, 20754
1000, 901, 20330
1000, 846, 301219
1000, 210, 22045
1000, 849, 20501
1000, 856, 20496
1000, 811, 20271
1000, 278, 22006
1000, 47, 22107
1000, 201, 22032
1000, 293, 22003
1000, 280, 22024
1000, 149, 22075
1000, 997, 19979
1000, 248, 22057
1000, 338, 21974
1000, 465, 21874
1000, 306, 22000
1000, 125, 22069
1000, 406, 21937
1000, 829, 20144
1000, 622, 21692
1000, 926, 20020
1000, 941, 20005
1000, 487, 21656
1000, 321, 22048
1000, 362, 21993
1000, 157, 22420
1000, 124, 22462
1000, 135, 22465
1000, 264, 22440
1000, 74, 22510
1000, 198, 22467
1000, 150, 22480
1000, 880, 20798
1000, 488, 22047
1000, 107, 22508
1000, 57, 22518
1000, 283, 22457
1000, 865, 20893
1000, 788, 21109
1000, 845, 20710
1000, 968, 20378
1000, 192, 22497
1000, 981, 20530
1000, 992, 20441
1000, 56, 22553
1000, 290, 22457
1000, 137, 22531
1000, 277, 22462
1000, 189, 22522
1000, 79, 302898
1000, 136, 22536
1000, 92, 302927
1000, 277, 302866
1000, 212, 22514
1000, 47, 302941
1000, 347, 22355
1000, 908, 20474
1000, 931, 20164
1000, 866, 20951
1000, 29, 302947
1000, 694, 301461
1000, 159, 22532
1000, 312, 22402
1000, 94, 302943
1000, 127, 22588
1000, 93, 22636
1000, 49, 22648
1000, 813, 20818
1000, 555, 22179
1000, 238, 22583
1000, 164, 22611
1000, 43, 22691
1000, 292, 22579
1000, 62, 22687
1000, 906, 20644
1000, 83, 22665
1000, 276, 22589
1000, 172, 22654
1000, 14, 22712
1000, 626, 22174
1000, 903, 20811
1000, 924, 20545
1000, 7, 22709
1000, 473, 22392
1000, 727, 21961
1000, 828, 20729
1000, 549, 22403
1000, 810, 20900
1000, 106, 23668
1000, 880, 302846
1000, 267, 23810
1000, 807, 22114
1000, 993, 21893
1000, 931, 304219
1000, 291, 25288
1000, 141, 305817
1000, 295, 305789
1000, 320, 305604
1000, 40, 305873
1000, 997, 304622
1000, 812, 304720
1000, 354, 305904
1000, 983, 23464
1000, 982, 23517
1000, 36, 25700
1000, 609, 25341
1000, 121, 25674
1000, 196, 25645
1000, 73, 25695
1000, 618, 304932
1000, 824, 23853
1000, 95, 25694
1000, 789, 304803
1000, 825, 23878
1000, 897, 23956
1000, 493, 25377
1000, 371, 25569
